Rk,Country,State,# of Pros,# Active,# of HOF,G,TDs,Most Touchdowns,TDs,Most Games Played,Games
62,Barbados,,5,0,0,306,8,Elvis Joseph\JoseEl00,3,Robert Bailey\BailRo20,146
63,Belgium,,2,0,0,90,0,,,Terry Ray\RayxTe20,73
64,Belize,,2,1,0,36,0,,,Rakeem Nunez-Roches\NuneRa00,34
65,Bermuda,,3,0,0,98,20,Ron Davenport\DaveRo00,17,Ron Davenport\DaveRo00,67
66,Bolivia,,1,0,0,4,0,,,Wilson Alvarez\alvarwil01,4
67,Brazil,,1,1,0,53,0,,,Cairo Santos\SantCa01,53
68,Bulgaria,,1,0,0,21,0,,,Boni Petcoff\PetcBo20,21
69,Burma,,1,0,0,10,2,Don Thompson\ThomDo22,2,Don Thompson\ThomDo22,10
70,Cameroon,,6,2,0,281,0,,,Roman Oben\ObenRo20,143
71,Canada,,107,13,2,5003,195,Nate Burleson\BurlNa00,43,Eddie Murray\murraedd01,250
72,Colombia,,2,0,0,167,0,,,Fuad Reveiz\reveifua01,147
73,Congo,,3,1,0,50,0,,,Andy Mulumba\MuluAn00,22
74,Croatia,,2,0,0,34,0,,,George Perpich\PerpGe20,27
75,Cuba,,4,0,0,287,4,Joe Lamas\LamaJo20,1,Luis Sharpe\SharLu00,189
76,Cyprus,,1,0,0,177,0,,,Garo Yepremian\yepregar01,177
77,Czech Republic,,5,0,0,128,1,Bullets Walson\WalsBu20,1,Will Svitek\SvitWi20,79
78,Denmark,,4,0,1,424,0,,,Morten Andersen\andermor01,382
79,El Salvador,,1,0,0,55,0,,,Jose Cortez\cortejos01,55
80,England,,29,4,0,1637,75,Sammy Morris\MorrSa00,27,Osi Umenyiora\UmenOs99,161
81,Estonia,,2,1,0,208,0,,,Michael Roos\RoosMi20,148
82,Fiji,,1,0,0,55,0,,,Freddy Keiaho\KeiaFr20,55
83,France,,4,0,0,201,2,Charles Romes\RomeCh20,2,Charles Romes\RomeCh20,156
84,Germany,,80,4,1,4706,135,Tony Richardson\RichTo00,24,Nick Lowery\lowernic01,260
85,Ghana,,3,1,0,197,0,,,Ebenezer Ekuban\EkubEb20,122
86,Greece,,5,0,0,129,1,Chris Farasopoulos\FaraCh20,1,Chris Farasopoulos\FaraCh20,42
87,Guam,,1,0,0,8,0,,,Troy Andrew\AndrTr20,8
88,Guatemala,,2,0,1,231,5,Ted Hendricks\HendTe00,4,Ted Hendricks\HendTe00,215
89,Guyana,,1,0,0,121,1,Lance Schulters\SchuLa00,1,Lance Schulters\SchuLa00,121
90,Haiti,,6,4,0,362,0,,,Gosder Cherilus\CherGo20,132
91,Honduras,,2,0,1,119,78,Steve Van Buren\VanBSt00,77,Steve Van Buren\VanBSt00,83
92,Hungary,,4,0,0,285,0,,,Pete Gogolak\GogoPe20,149
93,Iran,,1,0,0,57,0,,,Shar Pourdanesh\PourSh20,57
94,Ireland,,10,0,0,225,1,Bob Nash\NashBo20,1,Neil O'Donoghue\odononei02,110
95,Italy,,1,1,0,16,0,David Knight\KnigDa00,7,Leo Nomellini\NomeLe00,174
96,Italy,,22,2,1,676,9,David Knight\KnigDa00,7,Leo Nomellini\NomeLe00,174
97,Ivory Coast,,1,0,0,84,11,Amos Zereoue\ZereAm00,11,Amos Zereoue\ZereAm00,84
98,Jamaica,,40,5,0,1833,9,Kevin McLeod\McLeKe00,1,Sean Jones\JoneSe00,201
99,Japan,,11,1,0,755,11,Robert Griffin\GrifRo01,10,John Jackson\JackJo22,203
100,Kenya,,2,1,0,20,0,,,Rees Odhiambo\OdhiRe00,15
101,Latvia,,1,0,0,14,0,,,Vilnis Ezerins\EzerVi00,14
102,Lebanon,,2,0,0,4,0,,,Hicham El-Mashtoub\El-MHi20,3
103,Liberia,,8,2,0,461,4,Tamba Hali\HaliTa20,2,Tamba Hali\HaliTa20,177
104,Libya,,1,0,0,6,1,Tony Cherry\CherTo20,1,Tony Cherry\CherTo20,6
105,Lithuania,,2,0,0,33,0,,,Arunas Vasys\VasyAr20,22
106,Marshall Islands,,1,0,0,175,6,Todd Lyght\LyghTo00,6,Todd Lyght\LyghTo00,175
107,Mexico,,14,0,1,755,39,Tom Fears\FearTo00,39,Rafael Septien\septiraf01,151
108,Netherlands,,4,0,0,130,0,,,Harald Hasselbach\HassHa20,112
109,New Zealand,,4,1,0,361,0,,,David Dixon\DixoDa20,152
110,Nigeria,,24,6,0,997,69,Christian Okoye\OkoyCh00,40,Israel Idonije\IdonIs20,149
